,year,average population,live births,deaths,natural change,birth,death,natural change,migration change,total fertility rate[a],infant mortality rate,life expectancy (total)
90,1880,50262000,1965000.0,1131000.0,834000.0,39.1,22.5,16.6,3.3,,,
91,1881,51466000,1991000.0,1146000.0,845000.0,38.7,22.3,16.4,7.0,,,
92,1882,52893000,2024000.0,1166000.0,858000.0,38.3,22.0,16.3,10.8,,,
93,1883,54435000,2061000.0,1187000.0,874000.0,37.9,21.8,16.1,12.3,,,
94,1884,55826000,2090000.0,1204000.0,886000.0,37.4,21.6,15.8,9.0,,,
95,1885,57128000,2115000.0,1219000.0,896000.0,37.0,21.3,15.7,7.1,,,
96,1886,58258000,2129000.0,1232000.0,897000.0,36.5,21.1,15.4,4.0,,,
97,1887,59357000,2141000.0,1244000.0,897000.0,36.1,21.0,15.1,3.4,,,
98,1888,60614000,2157000.0,1259000.0,898000.0,35.6,20.8,14.8,5.9,,,
99,1889,61893000,2173000.0,1274000.0,899000.0,35.1,20.6,14.5,6.1,,,
100,1890,63056000,2183000.0,1286000.0,897000.0,34.6,20.4,14.2,4.2,,,
101,1891,64432000,2200000.0,1302000.0,898000.0,34.1,20.2,13.9,7.4,,,
102,1892,65920000,2219000.0,1319000.0,900000.0,33.7,20.0,13.7,8.9,,,
103,1893,67470000,2239000.0,1337000.0,902000.0,33.2,19.8,13.4,9.6,,,
104,1894,68910000,2253000.0,1353000.0,900000.0,32.7,19.6,13.1,7.8,,,
105,1895,70076000,2258000.0,1362000.0,896000.0,32.2,19.4,12.8,3.9,,,
106,1896,71188000,2279000.0,1368000.0,911000.0,32.0,19.2,12.8,2.8,,,
107,1897,72441000,2303000.0,1377000.0,926000.0,31.8,19.0,12.8,4.5,,,
108,1898,73600000,2325000.0,1383000.0,942000.0,31.6,18.8,12.8,2.9,,,
109,1899,74793000,2346000.0,1389000.0,957000.0,31.4,18.6,12.8,3.2,,,
110,1900,76094000,2371000.0,1308000.0,1063000.0,31.2,17.2,14.0,3.1,,,47.3
111,1901,77584000,2401000.0,1274000.0,1127000.0,30.9,16.4,14.5,4.7,,,49.1
112,1902,79163000,2433000.0,1225000.0,1208000.0,30.7,15.5,15.2,4.7,,,51.5
113,1903,80632000,2461000.0,1260000.0,1201000.0,30.5,15.6,14.9,3.3,,,50.5
114,1904,82166000,2491000.0,1348000.0,1143000.0,30.3,16.4,13.9,4.8,,,47.6
115,1905,83822000,2523000.0,1332000.0,1191000.0,30.1,15.9,14.2,5.9,,,48.7
116,1906,85450000,2547000.0,1343000.0,1204000.0,29.8,15.7,14.1,5.0,,,48.7
117,1907,87008000,2568000.0,1385000.0,1183000.0,29.5,15.9,13.6,4.3,,,47.6
118,1908,88710000,2592000.0,1302000.0,1290000.0,29.2,14.7,14.5,4.6,,,51.1
119,1909,90490000,2718000.0,1289000.0,1429000.0,30.0,14.2,15.8,3.9,,,52.1
120,1910,92407000,2777000.0,1357000.0,1420000.0,30.1,14.7,15.4,5.4,,,50.0
121,1911,93863000,2809000.0,1305000.0,1504000.0,29.9,13.9,16.0,-0.5,3.57,114.0,52.6
122,1912,95335000,2840000.0,1297000.0,1543000.0,29.8,13.6,16.2,-0.7,3.56,111.1,53.5
123,1913,97225000,2869000.0,1343000.0,1526000.0,29.5,13.8,15.7,3.7,3.45,114.8,52.5
124,1914,99111000,2966000.0,1318000.0,1648000.0,29.9,13.3,16.6,2.4,3.57,107.2,54.2
125,1915,100546000,2965000.0,1325000.0,1640000.0,29.5,13.2,16.3,-2.0,3.52,99.9,54.5
126,1916,101961000,2964000.0,1408000.0,1556000.0,29.1,13.8,15.3,-1.4,3.47,101.0,51.7
127,1917,103414000,2944000.0,1445000.0,1499000.0,28.5,14.0,14.5,-0.4,3.333,93.8,50.9
128,1918,104550000,2948000.0,1892000.0,1056000.0,28.2,18.1,10.1,0.8,3.312,100.9,39.1
129,1919,105063000,2740000.0,1354000.0,1386000.0,26.1,12.9,13.2,-8.3,3.068,86.6,54.7
130,1920,106461000,2950000.0,1383000.0,1567000.0,27.7,13.0,14.7,-1.6,3.263,85.8,54.1
131,1921,108538000,3055000.0,1248000.0,1807000.0,28.1,11.5,16.6,2.5,3.326,75.6,60.8
132,1922,110049000,2882000.0,1286000.0,1596000.0,26.2,11.7,14.5,-0.8,3.109,76.2,59.6
133,1923,111947000,2910000.0,1358000.0,1552000.0,26.0,12.1,13.9,3.1,3.101,77.1,57.2
134,1924,114109000,2979000.0,1323000.0,1656000.0,26.1,11.6,14.5,4.4,3.121,70.8,59.7
135,1925,115828000,2909000.0,1353000.0,1556000.0,25.1,11.7,13.4,1.4,3.012,71.7,59.0
136,1926,117397000,2839000.0,1422000.0,1417000.0,24.2,12.1,12.1,1.3,2.901,73.3,56.7
137,1927,119085000,2802000.0,1347000.0,1455000.0,23.5,11.3,12.2,2.0,2.824,64.6,60.4
138,1928,120509000,2674000.0,1445000.0,1229000.0,22.2,12.0,10.2,1.6,2.66,68.7,56.8
139,1929,121767000,2582000.0,1447000.0,1135000.0,21.2,11.9,9.3,1.0,2.532,67.6,57.1
